Jan_rise,Jan_set,Feb_rise,Feb_set,Mar_rise,Mar_set,Apr_rise,Apr_set,May_rise,May_set,June_rise,June_set,July_rise,July_set,Aug_rise,Aug_set,Sept_rise,Sept_set,Oct_rise,Oct_set,Nov_rise,Nov_set,Dec_rise,Dec_set
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,6,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,7,16
7,16,6,17,6,17,5,18,4,19,4,19,4,19,5,19,5,18,6,17,6,16,7,16
7,16,6,17,6,17,5,18,4,19,4,19,4,19,5,19,5,18,6,17,6,16,7,16
7,16,6,17,6,17,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,17,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,18,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,16,6,17,6,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,17,6,16,7,16
7,17,6,17,5,18,5,18,4,19,4,19,4,19,5,18,5,17,6,16,6,16,7,16
7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,6,16,7,16
7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,6,16,7,16
7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,6,16,7,16
7,17,6,17,5,18,4,18,4,19,4,19,4,19,5,18,5,17,6,16,6,16,7,16
