no,date,mpg,dep,lat,lon,locate
1,2017-01-04 5:00,2.5,,36.58,129.24,경북 영덕군 북북서쪽 22km 지역
2,2017-01-06 5:31,3.3,,35.75,129.17,경북 경주시 남남서쪽 11km 지역
3,2017-01-06 5:33,2.2,,35.75,129.18,경북 경주시 남남서쪽 10km 지역
4,2017-01-07 6:37,2.4,,38.69,125.73,북한 황해북도 송림 동남동쪽 10km 지역
5,2017-01-11 0:10,2.1,,36.44,128.42,경북 의성군 서북서쪽 27km 지역
6,2017-01-14 11:52,2.2,,35.17,127.79,경남 하동군 북북동쪽 12km 지역
7,2017-01-16 6:57,2.7,,33.64,127.51,전남 여수시 거문도 남남동쪽 47km 해역
8,2017-01-16 19:54,2.1,,36.33,126.59,충남 보령시 서쪽 2km 지역
9,2017-01-17 16:06,2.8,,38.71,125.86,북한 황해북도 송림 동쪽 20km 지역
10,2017-01-18 12:49,2.5,,35.02,125.06,전남 신안군 흑산면 북서쪽 56km 해역
11,2017-01-21 3:27,2.6,,35.75,129.18,경북 경주시 남남서쪽 10km 지역
12,2017-01-24 4:07,2.6,,35.77,129.17,경북 경주시 남남서쪽 9km 지역
13,2017-01-26 22:53,2,,33.54,126.87,제주 제주시 동쪽 32km 해역
14,2017-01-29 13:45,2.6,,38.7,127.16,북한 강원도 평강 북북서쪽 34km 지역
15,2017-02-05 19:07,2.5,,33.61,126.73,제주 제주시 동북동쪽 22km 해역
16,2017-02-05 20:06,2.6,,39.61,127.64,북한 함경남도 함흥 남남동쪽 34km 해역
17,2017-02-10 5:22,2.2,,35.65,129.57,울산 북구 동북동쪽 20km 해역
18,2017-02-10 18:01,2.6,,38.54,125.84,북한 황해북도 사리원 동북동쪽 8km
19,2017-02-12 9:22,2.3,,35.69,129.58,울산 북구 동북동쪽 23km 해역
20,2017-02-16 2:34,2.9,,35.78,129.2,경북 경주시 남남서쪽 7km 지역
21,2017-02-16 18:20,2.3,,35.64,128.09,경남 합천군 북서쪽 11km 지역
22,2017-02-18 16:53,2,,33.23,126.18,제주 서귀포시 서쪽 35km 해역
23,2017-02-18 20:58,2.4,,35.23,126.94,광주 북구 북북동쪽 7km 지역
24,2017-02-21 3:21,2.1,,35.76,129.2,경북 경주시 남쪽 9km 지역
25,2017-02-22 13:08,2.1,,35.77,129.18,경북 경주시 남남서쪽 8km 지역
26,2017-02-23 21:03,3.1,,37.4,124.89,인천 백령도 남남동쪽 64km 해역
27,2017-02-24 11:34,2.3,,36.38,127.79,충북 옥천군 동북동쪽 21km 지역
28,2017-02-24 12:29,2.5,,38.89,126.09,북한 평양 동남동쪽 33km 지역
29,2017-02-25 6:58,2.2,,35.74,129.17,경북 경주시 남남서쪽 12km 지역
30,2017-02-25 6:59,2.4,,35.74,129.18,경북 경주시 남남서쪽 11km 지역
31,2017-03-04 6:33,2.3,,35.99,127.95,경북 김천시 남서쪽 22km 지역
32,2017-03-05 7:52,2.4,,35.75,129.17,경북 경주시 남남서쪽 11km 지역
33,2017-03-05 9:18,3.2,,37.75,129.66,강원 동해시 동북동쪽 54km 해역
34,2017-03-05 9:28,2.4,,37.74,129.69,강원 동해시 동북동쪽 56km 해역
35,2017-03-05 15:09,2.1,,37.72,129.59,강원 동해시 동북동쪽 47km 해역
36,2017-03-05 19:19,2.1,,37.77,129.7,강원 동해시 동북동쪽 58km 해역
37,2017-03-06 6:21,2,,35.75,126.1,전북 부안군 위도 북서쪽 24km 해역
38,2017-03-07 3:48,2.2,,36.3,128.23,경북 구미시 북북서쪽 23km 지역
39,2017-03-07 6:53,2.6,,37.75,129.71,강원 동해시 동북동쪽 58km 해역
40,2017-03-09 2:24,2,,35.82,129.78,경북 포항시 남구 동남동쪽 43km 해역
41,2017-03-14 5:41,2.1,,34.64,127.78,전남 여수시 남동쪽 17km 지역
42,2017-03-15 23:56,2.4,,37.73,129.69,강원 동해시 동북동쪽 56km 해역
43,2017-03-19 3:01,2.9,,33.32,127.18,제주 서귀포시 성산 동남동쪽 29km 해역
44,2017-03-21 23:19,2.4,,38.52,126.03,북한 황해북도 사리원 동쪽 23km 지역
